race_id	horse_id	target	rank	tansho_odds	popularity	umaban	pred
202303030203	2020101809	0	6	3.8	2	10	0.20203233163921178
202303030203	2020106697	0	8	7.2	3	11	0.18729905679378575
202303030203	2020105578	0	2	11.7	5	12	0.07974732543242212
202303030204	2019105276	1	1	2.4	1	1	0.49240125972376964
202303030204	2019102792	0	8	32.6	8	2	0.08713522086990111
202303030204	2017106071	0	6	6.1	3	3	0.044318744524322225
202303030204	2017106373	0	5	7.8	5	4	0.07861809147214037
202303030204	2020103905	0	10	167.8	11	5	0.0011188668299354444
202303030204	2015106286	0	4	39.1	9	6	0.034255913526552904
202303030204	2020103535	0	9	29.5	7	7	0.024657148824601544
202303030204	2018103264	0	2	7.9	6	8	0.10579039881574775
202303030204	2019100522	0	3	5.0	2	10	0.15143438801835987
202303030204	2018103537	0	7	133.8	10	11	0.0029633469302348223
202303030205	2018103063	1	1	15.3	5	1	0.022087722145131276
202303030205	2020101396	0	6	8.3	4	2	0.0550751771349739
202303030205	2017101109	0	4	41.7	7	3	0.012000527036839076
202303030205	2020105728	0	3	7.7	3	4	0.07667942255890337
202303030205	2018106492	0	2	1.4	1	5	0.6134764471286303
202303030205	2016102184	0	7	70.0	8	7	0.011207085778637941
202303030205	2017104698	0	5	6.2	2	8	0.11494005458771432
202303030205	2018104723	0	8	138.6	9	9	0.0009346611424132418
202303030206	2021103527	0	8	8.8	5	1	0.08302831362517137
202303030206	2021100980	1	1	3.6	1	2	0.19323728710852023
202303030206	2021102894	0	6	31.8	8	3	0.05782837561194787
202303030206	2021104813	0	5	82.0	13	4	0.005371405051014492
202303030206	2021101058	0	11	44.8	9	5	0.02280713478554525
202303030206	2021101986	0	2	4.1	2	6	0.18884007354049448
202303030206	2021104282	0	7	45.4	10	7	0.034211743697407836
202303030206	2021102469	0	10	7.9	4	8	0.09341876040426236
202303030206	2021103132	0	13	75.3	12	9	0.00846824143924873
202303030206	2021101776	0	15	12.6	6	10	0.06737873232803479
202303030206	2021100881	0	9	111.5	15	11	0.002805030788679732
202303030206	2021103694	0	3	6.0	3	12	0.1243791062006962
