race_id	0	1	2	3
202301010308	三連複	2 - 6 - 13	4490	15
202301010308	三連単	6 → 13 → 2	19250	68
202301010309	単勝	13	580	4
202301010309	複勝	13 2 5	190 190 250	3 4 5
202301010309	枠連	2 - 8	1240	6
202301010309	馬連	2 - 13	1420	5
202301010309	ワイド	2 - 13 5 - 13 2 - 5	640 1,140 1,070	6 13 9
202301010309	馬単	13 → 2	2990	11
202301010309	三連複	2 - 5 - 13	5460	17
202301010309	三連単	13 → 2 → 5	27520	86
202301010310	単勝	3	220	1
202301010310	複勝	3 6 2	110 180 120	1 4 2
202301010310	馬連	3 - 6	1400	4
202301010310	ワイド	3 - 6 2 - 3 2 - 6	350 160 470	4 1 9
202301010310	馬単	3 → 6	1930	7
202301010310	三連複	2 - 3 - 6	1040	3
202301010310	三連単	3 → 6 → 2	5720	19
202301010311	単勝	12	470	2
202301010311	複勝	12 11 1	180 760 240	2 11 3
202301010311	枠連	6 - 6	9290	29
202301010311	馬連	11 - 12	9090	36
202301010311	ワイド	11 - 12 1 - 12 1 - 11	2,970 680 3,980	37 3 48
202301010311	馬単	12 → 11	15320	56
202301010311	三連複	1 - 11 - 12	20960	70
202301010311	三連単	12 → 11 → 1	121060	384
202301010312	単勝	1	750	5
202301010312	複勝	1 6 3	210 230 490	3 5 9
202301010312	枠連	1 - 6	1130	3
202301010312	馬連	1 - 6	1900	10
202301010312	ワイド	1 - 6 1 - 3 3 - 6	740 1,850 2,020	10 29 33
202301010312	馬単	1 → 6	4590	22
202301010312	三連複	1 - 3 - 6	13570	61
202301010312	三連単	1 → 6 → 3	87660	354
202301010401	単勝	6	210	1
202301010401	複勝	6 1 11	110 170 3,770	1 3 12
202301010401	枠連	1 - 4	480	2
202301010401	馬連	1 - 6	540	1
202301010401	ワイド	1 - 6 6 - 11 1 - 11	270 5,720 10,520	2 39 48
202301010401	馬単	6 → 1	890	2
202301010401	三連複	1 - 6 - 11	27670	69
202301010401	三連単	6 → 1 → 11	93540	261
202301010402	単勝	6	660	5
202301010402	複勝	6 2 10	160 130 200	2 1 6
202301010402	枠連	2 - 5	1020	4
202301010402	馬連	2 - 6	1040	2
202301010402	ワイド	2 - 6 6 - 10 2 - 10	380 640 540	2 8 5
202301010402	馬単	6 → 2	2370	5
202301010402	三連複	2 - 6 - 10	2340	5
202301010402	三連単	6 → 2 → 10	13800	35
202301010403	単勝	6	2980	9
202301010403	複勝	6 9 1 13	630 420 310 210	9 8 5 3
202301010403	枠連	4 - 6	1510	6
202301010403	馬連	6 - 9	24470	44
202301010403	ワイド	6 - 9 1 - 6 6 - 13 1 - 9 9 - 13	3,540 2,270 2,320 1,400 1,170	44 36 37 27 23
202301010403	馬単	6 → 9	47140	92
202301010403	三連複	1 - 6 - 9 6 - 9 - 13	28,640 24,010	127 116
202301010403	三連単	6 → 9 → 1 6 → 9 → 13	258,640 175,850	892 731
202301010404	単勝	11	230	1
202301010404	複勝	11 16 10	140 680 230	1 8 3
202301010404	枠連	6 - 8	3510	13
202301010404	馬連	11 - 16	4250	13
202301010404	ワイド	11 - 16 10 - 11 10 - 16	1,550 440 2,540	18 2 29
202301010404	馬単	11 → 16	5900	21
202301010404	三連複	10 - 11 - 16	9740	30
202301010404	三連単	11 → 16 → 10	48530	146
202301010405	単勝	10	1380	6
202301010405	複勝	10 11 9	250 170 140	6 3 1
202301010405	枠連	7 - 8	490	1
202301010405	馬連	10 - 11	3620	14
202301010405	ワイド	10 - 11 9 - 10 9 - 11	890 630 310	12 7 1
202301010405	馬単	10 → 11	8280	32
202301010405	三連複	9 - 10 - 11	2690	6
202301010405	三連単	10 → 11 → 9	25970	90
202301010406	単勝	10	810	4
202301010406	複勝	10 13 1	220 200 200	4 3 2
202301010406	枠連	7 - 8	1020	4
202301010406	馬連	10 - 13	2080	8
202301010406	ワイド	10 - 13 1 - 10 1 - 13	580 770 640	5 8 6
202301010406	馬単	10 → 13	4370	16
202301010406	三連複	1 - 10 - 13	3710	10
202301010406	三連単	10 → 13 → 1	20620	61
202301010407	単勝	2	170	1
202301010407	複勝	2 11 9	110 1,630 2,140	1 12 13
